Axial,Tangential,Radial,fault
0.63,3.77,8.9,1
0.39,0.51,8.79,1
0.31,-0.9,9.69,1
0.27,2.28,9.22,1
-0.31,-1.22,9.06,1
0.2,0.27,8.67,1
-0.43,2.04,9.77,1
-1.69,1.65,10.36,1
-1.65,-0.51,10.24,1
-0.63,0.04,9.06,1
-2.04,-0.2,11.14,1
-0.82,-0.47,9.49,1
0.51,2.24,8.12,1
0.16,2.82,9.92,1
0.39,0.55,11.85,1
-0.35,1.73,9.57,1
-1.22,1.53,10.43,1
-1.45,-0.71,9.96,1
0.16,-0.67,9.02,1
-2.31,1.77,9.81,1
-1.53,-1.41,10.24,1
0.31,1.77,8.51,1
-0.39,2.43,10.12,1
-2.08,-0.75,11.53,1
-1.22,-0.55,9.77,1
0.08,2.16,8.51,1
-1.26,-1.02,10.08,1
-0.2,0.04,8.71,1
-0.51,2.55,9.61,1
-1.65,1.45,10.16,1
-1.22,-1.18,10.16,1
0.12,0.27,8.71,1
-2.12,-0.59,10.98,1
0.27,-0.31,8.32,1
0.63,2.04,8.83,1
-2.08,1.18,11.34,1
-1.41,-0.47,10.12,1
0.43,-0.08,8.55,1
-1.26,-2.2,9.85,1
-0.71,-1.06,9.69,1
0.31,1.26,8.39,1
-0.86,3.92,9.61,1
0.2,0.16,10.67,1
1.06,2.63,8.79,1
-1.96,1.14,11.06,1
-1.49,-0.47,10.08,1
0.43,0.04,8.47,1
-1.53,0.51,11.3,1
-0.86,-1.49,10.12,1
0.59,0.78,8.08,1
-0.39,2.86,9.34,1
-1.33,0.43,11.49,1
-1.26,-1.26,9.96,1
-1.61,1.41,8.28,1
-1.37,-0.55,9.69,1
0.08,0.27,9.1,1
-0.35,1.8,9.41,1
-1.14,1.77,10.71,1
-0.08,2,8.63,1
-0.43,2.39,10.55,1
-2.39,-0.94,11.57,1
-0.86,-0.12,9.22,1
0.27,2.16,8.55,1
-1.22,1.77,11.14,1
-0.04,0.12,8.79,1
-0.08,2.79,9.22,1
-1.92,1.22,10.94,1
-0.98,-1.33,10.16,1
0.59,0.67,8.39,1
-1.69,-0.63,10.4,1
0.47,0.04,8.67,1
0.39,2,9.22,1
-1.73,1.18,10.83,1
-1.18,-0.16,9.89,1
-0.31,3.33,8.43,1
-0.43,0.67,10.32,1
0.16,0.35,10.4,1
1.22,2.39,8.59,1
-4.79,3.73,10.04,1
-1.84,-1.73,9.14,1
0.04,2.08,8.2,1
-0.08,1.92,9.26,1
-1.65,0.35,11.45,1
-0.86,-1.61,9.85,1
-1.73,1.41,8,1
-1.49,-0.67,9.96,1
0.51,0.08,8.9,1
0.31,1.84,9.34,1
-1.33,-1.22,9.92,1
0.27,1.53,8.2,1
-0.59,2.75,10,1
-2.31,-0.63,11.49,1
-0.86,-0.31,9.49,1
0.08,2.12,8.47,1
-1.29,-1.65,9.89,1
0.75,1.14,8.39,1
-0.82,3.33,10,1
-1.69,3.33,10.83,1
-0.43,-1.1,10.12,1
1.1,0.31,7.92,1
-1.14,1.49,11.45,1
-0.71,0.47,9.92,1
0.43,-1.45,7.61,1
1.1,2.28,8.2,1
-1.06,-1.14,10.32,1
-0.27,-0.08,8.83,1
-0.47,2.75,9.65,1
-2.04,1.61,10.83,1
-1.26,-1.18,10.32,1
0.12,0.31,8.59,1
-2.12,-0.47,10.94,1
-0.24,-0.2,8.83,1
0.9,2.28,8.83,1
-1.96,0.98,11.22,1
-2.2,-0.12,10.16,1
0.59,1.14,8.59,1
0.24,-2,8,1
-0.55,-5.06,6.71,1
0.75,-0.86,8.36,1
1.77,5.1,9.41,1
-0.94,0.51,9.26,1
-0.86,0,8.98,1
0.35,2.47,8.08,1
-0.16,2.98,9.85,1
0.27,0.16,11.45,1
0.71,2.04,9.18,1
-1.73,1.22,10.87,1
-1.18,-0.51,9.73,1
0.35,0.16,9.02,1
-1.49,0.2,11.65,1
-1.1,-1.14,9.73,1
0.47,1.45,8.47,1
-0.51,2.79,9.96,1
0.12,0.39,11.69,1
-0.39,1.88,9.69,1
-1.45,1.61,10.47,1
-1.1,-0.75,10.08,1
-0.12,0.08,8.75,1
-0.08,2.55,9.3,1
-0.51,-0.24,8.9,1
0.75,2.43,7.96,1
-1.73,1.8,12.83,1
-3.53,0.04,12.16,1
-0.78,-0.35,9.34,1
-1.41,1.96,8.98,1
-0.78,0.86,10.51,1
1.06,1.33,9.34,1
0.75,2.55,9.22,1
-1.22,-6,9.02,1
-0.94,-0.75,10.12,1
-0.35,1.92,10.24,1
-2.79,1.96,12.63,1
-0.31,0.94,9.49,1
-0.55,0.24,8.47,1
0.08,1.96,8.79,1
-1.49,-0.43,10.12,1
0,0.08,9.02,1
-0.39,1.84,9.49,1
-1.41,1.61,10.51,1
0.16,-0.67,10.08,1
-0.59,2.59,10.51,1
-2.04,-0.71,11.61,1
-1.14,-0.2,9.53,1
0.55,2.28,8.36,1
-0.75,2.31,10.87,1
-2.28,-0.67,11.41,1
-0.9,-0.12,9.22,1
-1.8,1.65,8.55,1
-1.18,-0.94,10.16,1
-0.08,0.08,8.75,1
0.51,2.47,9.14,1
-1.29,-0.67,9.49,1
0.59,-1.02,12.08,1
-1.49,0.71,12.2,1
-3.37,-0.9,12.87,1
-1.41,0.24,9.85,1
0.24,1.84,8.67,1
-0.35,2.67,10.51,1
0.04,-0.63,11.45,1
-0.43,2,9.57,1
-1.37,1.65,10.51,1
-1.22,-0.59,9.85,1
0,0.2,9.02,1
-2.04,2.12,9.45,1
-1.1,-0.43,9.69,1
0.08,2.08,8.51,1
-0.35,2.63,10.43,1
-2.31,-0.71,11.57,1
-0.98,-0.16,9.34,1
0.39,2.16,8.28,1
-0.98,-0.71,10.2,1
0.55,0.67,9.81,1
-0.67,3.73,10.47,1
-2.39,3.22,11.1,1
-1.29,0.04,9.65,1
-0.35,4.94,9.92,1
-2.24,2.67,11.14,1
-0.78,0.94,11.41,1
0.51,0.12,9.73,1
-1.57,2.43,8.55,1
